Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover in Lacs,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,25-Apr-14,2213.75,2227,2235,2193.2,2203.85,2205.25,2203.67,1580224,34823,81051,1157391,73.24
TCS,EQ,28-Apr-14,2205.25,2205.25,2222.7,2180.1,2186.65,2191.35,2195.43,1275383,28000.13,81405,900404,70.6
TCS,EQ,29-Apr-14,2191.35,2186,2206.35,2176.9,2195,2194.25,2195.06,923090,20262.4,67577,641624,69.51
TCS,EQ,30-Apr-14,2194.25,2185.1,2205.6,2181,2191,2189.2,2190.56,1198689,26258,70291,960888,80.16
TCS,EQ,2-May-14,2189.2,2181.25,2219.9,2181.25,2208.45,2208.45,2207.37,958889,21166.25,48854,640030,66.75
TCS,EQ,5-May-14,2208.45,2210.8,2229,2204.15,2209.6,2213.7,2220.64,657239,14594.89,50891,433454,65.95
TCS,EQ,6-May-14,2213.7,2213.7,2221.6,2190,2199.5,2198.9,2198.17,480616,10564.78,50253,330069,68.68
TCS,EQ,7-May-14,2198.9,2191.05,2203,2140.1,2165,2165.55,2165.69,2358091,51068.96,81592,2013398,85.38
TCS,EQ,8-May-14,2165.55,2165.1,2181.8,2147.65,2155,2162.05,2160.74,1303450,28164.12,57679,981809,75.32
TCS,EQ,9-May-14,2162.05,2152,2184.7,2152,2162,2159.9,2171.23,899720,19534.98,52488,600529,66.75
TCS,EQ,12-May-14,2159.9,2153,2166.7,2123.15,2164.85,2159.35,2147.47,1443032,30988.63,63790,1068192,74.02
TCS,EQ,13-May-14,2159.35,2165.8,2239,2165.8,2209,2210.95,2201.67,1273742,28043.56,61340,810242,63.61
TCS,EQ,14-May-14,2210.95,2214.4,2237.7,2201.1,2217.5,2216.1,2218.6,694614,15410.7,42813,434571,62.56
TCS,EQ,15-May-14,2216.1,2216.1,2225,2171.15,2196.75,2193.15,2191,1260098,27608.69,55726,995857,79.03
TCS,EQ,16-May-14,2193.15,2200.05,2253.4,2100.25,2160,2160.75,2182.83,2620899,57209.86,108446,1844758,70.39
TCS,EQ,19-May-14,2160.75,2150,2160,1999.5,2026,2036.7,2036.04,3258303,66340.51,134136,2377378,72.96
TCS,EQ,20-May-14,2036.7,2028,2160,2028,2062,2068.2,2068.91,2351057,48641.14,102010,1659683,70.59
TCS,EQ,21-May-14,2068.2,2061.2,2089,2055.8,2083,2082.85,2075.42,2058473,42722.02,85447,1664115,80.84
TCS,EQ,22-May-14,2082.85,2096.75,2124,2075.1,2108,2111.95,2108.25,2108421,44450.7,92965,1640264,77.8
TCS,EQ,23-May-14,2111.95,2119,2149,2096,2129.85,2127.9,2126.25,1547390,32901.39,67074,1219172,78.79
TCS,EQ,26-May-14,2127.9,2149,2169.6,2133.6,2155.05,2154,2151.13,1325425,28511.63,53883,979408,73.89
TCS,EQ,27-May-14,2154,2160.15,2184.6,2118,2132,2131.45,2143.11,897547,19235.39,53842,532534,59.33
TCS,EQ,28-May-14,2131.45,2140,2158.75,2122.45,2152,2150.55,2146.7,943744,20259.39,67958,671044,71.1
TCS,EQ,29-May-14,2150.55,2145,2180,2135.2,2163.85,2159.95,2157.21,1410355,30424.25,90581,990215,70.21
TCS,EQ,30-May-14,2159.95,2158.8,2167,2130.15,2144.75,2141.35,2141.16,1292824,27681.39,55989,896287,69.33
TCS,EQ,2-Jun-14,2141.35,2144,2157.75,2116.05,2133.85,2129.85,2127.71,547579,11650.89,39797,407480,74.41
TCS,EQ,3-Jun-14,2129.85,2129.85,2138,2105.2,2129.95,2128.6,2128.39,1242314,26441.25,54006,997366,80.28
TCS,EQ,4-Jun-14,2128.6,2130,2134.9,2077,2088,2089.25,2089.35,1070531,22367.13,66411,811467,75.8
TCS,EQ,5-Jun-14,2089.25,2083.1,2116.4,2068,2100.15,2104.15,2092.64,2174235,45498.95,94900,1704360,78.39
TCS,EQ,6-Jun-14,2104.15,2100.15,2107.8,2056,2085,2084.25,2075.46,1680793,34884.15,91602,1264029,75.2
TCS,EQ,9-Jun-14,2084.25,2087,2118,2080,2114.95,2113.8,2109.34,1333098,28119.54,78066,1044933,78.38
TCS,EQ,10-Jun-14,2113.8,2115,2160.95,2115,2155.55,2158.15,2143.38,1314034,28164.77,80530,883365,67.23
TCS,EQ,11-Jun-14,2158.15,2165,2214,2138.2,2204.2,2206.95,2187.46,1772281,38767.93,102815,967759,54.61
TCS,EQ,12-Jun-14,2206.95,2249,2254,2183.8,2238.1,2237.35,2222.95,1367169,30391.48,75398,798442,58.4
TCS,EQ,13-Jun-14,2237.35,2238,2239,2185.05,2220,2213.55,2206.02,952011,21001.51,69814,519133,54.53
TCS,EQ,16-Jun-14,2213.55,2210,2276.95,2210,2270,2269.75,2261.41,1219953,27588.1,85866,738278,60.52
TCS,EQ,17-Jun-14,2269.75,2284.9,2297,2271,2275,2279.85,2283.37,959072,21899.17,74343,656454,68.45
TCS,EQ,18-Jun-14,2279.85,2293,2293,2221.3,2221.3,2227.05,2241.97,974412,21846,70364,571946,58.7
TCS,EQ,19-Jun-14,2227.05,2230,2289,2210.1,2280.15,2276.05,2252.21,948177,21354.94,57665,474612,50.06
TCS,EQ,20-Jun-14,2276.05,2284.9,2299,2262,2286.2,2292.4,2285.14,577837,13204.4,32093,373705,64.67
TCS,EQ,23-Jun-14,2292.4,2293,2299.9,2254.05,2260.1,2268.85,2270.33,631367,14334.11,40067,391667,62.03
